nome_empresa,contato,cargo,email,fonte,observacao
"Consultoria Exemplo Sul Ltda","Ana Martins","Líder de Projeto S/4HANA (FI-CA/FS-CD)","ana.martins@exemplo-sul.com.br","LinkedIn - busca 'FI-CA FS-CD Brasil'","PLACEHOLDER - dados fictícios, não real"
"TechSAP Médias Empresas","Bruno Carvalho","Coordenador de Implantação S/4HANA","bruno.carvalho@techsap-exemplo.com.br","Grupo SAP Community BR no LinkedIn","PLACEHOLDER - dados fictícios, não real"
"Integra ERP Consultoria","Carla Souza","Gerente de Projetos SAP FI-CA","carla.souza@integraerp-exemplo.com.br","Indicação em evento SAP Inside Track","PLACEHOLDER - dados fictícios, não real"
"Nordeste SAP Partners","Diego Lima","Lead de FS-CD / Contas a Receber","diego.lima@nordestesap-exemplo.com.br","LinkedIn Sales Navigator - filtro cargo","PLACEHOLDER - dados fictícios, não real"
"Conecta Soluções Corporativas","Elena Ferreira","Arquiteta de Soluções S/4HANA","elena.ferreira@conecta-exemplo.com.br","SAP Community - fórum FI-CA","PLACEHOLDER - dados fictícios, não real"
"Vertex Brasil Consulting","Felipe Rocha","Project Manager SAP Financials","felipe.rocha@vertex-exemplo.com.br","LinkedIn - grupo 'SAP S/4HANA Brasil'","PLACEHOLDER - dados fictícios, não real"
"Polo Digital SAP","Gabriela Alves","Coordenadora FS-CD / FI-CA","gabriela.alves@polodigital-exemplo.com.br","Webinar ASUG Brasil - lista de participantes","PLACEHOLDER - dados fictícios, não real"
"Magnum ERP Services","Henrique Pinto","Líder de Implantação SAP FI","henrique.pinto@magnum-exemplo.com.br","Indicação de parceiro SAP","PLACEHOLDER - dados fictícios, não real"
"Sinergia Tech Consultoria","Isabela Mendes","Gerente de Delivery S/4HANA","isabela.mendes@sinergia-exemplo.com.br","LinkedIn - postagens sobre FS-CD","PLACEHOLDER - dados fictícios, não real"
"Atlas Soluções Empresariais","João Castro","Especialista Sênior FI-CA/FS-CD","joao.castro@atlas-exemplo.com.br","SAP Community - perfil público","PLACEHOLDER - dados fictícios, não real"
